"","PHYLOGENETIC ANALYSES UNRAVEL THE EVOLUTIONARY HISTORY OF NAC PROTEINS IN PLANTS","Tingting Zhu 	Eviatar Nevo 	Dongfa Sun ","","","","2012-01-03T00:00:00Z","","41503485"
"","2001 Congress on In vitro Biology Special Poster Session Abstracts"," ","","","","2001-01-03T00:00:00Z","","4293557"
"","A β-galactosidase gene is expressed during mature fruit abscission of 'Valencia' orange (Citrus sine","Zhencai Wu 	Jacqueline K. Burns ","","","","2004-01-03T00:00:00Z","","24030445"
"","Evolution and Diverse Roles of the CUP-SHAPED COTYLEDON Genes in Arabidopsis Leaf Development","Alice Hasson 	Anne Plessis 	Thomas Blein ","","","","2011-01-03T00:00:00Z","","41433803"
"","DEVELOPMENT OF SEQUENCE CHARACTERISED AMPLIFIED REGION (SCAR) MARKERS IN ACACIA AURICULIFORMIS","V Yuskianti 	ZB Xiang 	S Shiraishi ","","","","2011-01-03T00:00:00Z","","23616974"
"","2000 World Congress on in vitro Biology Special Poster Session Abstracts"," ","","","","2000-01-03T00:00:00Z","","4293405"
"","1997 Congress on In vitro Biology Special Poster Session Abstracts"," ","","","","1997-01-03T00:00:00Z","","4293148"
"","Tandem oleosin genes in a cluster acquired in Brassicaceae created tapetosomes and conferred additiv","Chien Yu Huang 	Pei-Ying Chen 	Ming-Der Huang ","","","","2013-01-03T00:00:00Z","","42713124"
"","Genetic stability of cryopreserved shoot tips of Rubus germplasm","Nina Rosa F. Castillo 	Nahla V. Bassil 	Sugae Wada ","","","","2010-01-03T00:00:00Z","","40793217"
"","Two Distinct Gene Subfamilies within the Family of Cysteine Protease Genes","Kathleen M. Karrer 	Stacia L. Peiffer 	Michele E. DiTomas ","","","","1993-01-03T00:00:00Z","","2361679"
"","MOLECULAR CHARACTERIZATION OF BEGOMOVIRUSES INFECTING LUDWIGIA HYSSOPIFOLIA","J.F. Huang 	T. Jiang 	X.P. Zhou ","","","","2006-01-03T00:00:00Z","","41998284"
"","Theory for Why Dioecious Plants Have Equal Length Sex Chromosomes","Root Gorelick ","","","","2005-01-03T00:00:00Z","","4126074"
